Name	     Facies	Depth	GR	ILD	PHIND	PE

SHRIMPLIN	3	2793.0	77.45	664	11915	4.6
SHRIMPLIN	3	2793.5	78.26	661	12565	4.1
SHRIMPLIN	3	2794.0	79.05	658	13.05	3.6
SHRIMPLIN	3	2794.5	86.1	655	13115	3.5
SHRIMPLIN	3	2795.0	74.58	647	13.3	3.4
SHRIMPLIN	3	2795.5	73.97	636	13385	3.6
SHRIMPLIN	3	2796.0	73.72	0.63	13.93	3.7
SHRIMPLIN	3	2796.5	75.65	625	13.92	3.5
SHRIMPLIN	3	2797.0	73.79	624	13.98	3.4
SHRIMPLIN	3	2797.5	76.89	615	14.22	3.5
SHRIMPLIN	3	2798.0	76.11	0.6	13375	3.6
SHRIMPLIN	3	2798.5	74.95	583	12.69	3.7
SHRIMPLIN	3	2799.0	71.87	561	12475	3.5
SHRIMPLIN	3	2799.5	83.42	537	14.93	3.4
SHRIMPLIN	2	2800.0	90.1	519	16555	3.2
SHRIMPLIN	2	2800.5	78.15	467	15.96	3.1
SHRIMPLIN	2	2801.0	69.3	438	15.12	3.1
SHRIMPLIN	2	2801.5	63.54	418	15.19	3.0
SHRIMPLIN	2	2802.0	63.87	401	15.39	2.9
SHRIMPLIN	2	2802.5	58.32	386	14885	2.8
SHRIMPLIN	2	2803.0	56.61	369	14.8	3.0
SHRIMPLIN	2	2803.5	55.97	352	14.46	3.0
SHRIMPLIN	2	2804.0	63.67	344	14745	3.0
SHRIMPLIN	2	2804.5	66.2	342	15135	3.0
SHRIMPLIN	2	2805.0	61.27	346	15.48	3.0
SHRIMPLIN	3	2805.5	69.48	354	14675	3.0
SHRIMPLIN	3	2806.0	76.37	354	13635	3.0
SHRIMPLIN	2	2806.5	82.2	348	15055	3.0
SHRIMPLIN	2	2807.0	90.25	346	20.23	3.1
SHRIMPLIN	2	2807.5	94.38	358	24015	3.0
SHRIMPLIN	2	2808.0	87.44	377	23.58	3.1
SHRIMPLIN	2	2808.5	70.98	401	18395	3.1
SHRIMPLIN	2	2809.0	64.72	439	13815	3.1
SHRIMPLIN	3	2809.5	54.29	0.47	9.44	3.2
SHRIMPLIN	3	2810.0	41.46	493	5255	3.4
SHRIMPLIN	3	2810.5	50.93	524	5265	4.6
SHRIMPLIN	3	2811.0	72.79	543	11.76	4.1
SHRIMPLIN	3	2811.5	95.34	555	17665	3.5
SHRIMPLIN	3	2812.0	102.35	558	20145	3.2
SHRIMPLIN	3	2812.5	79.7	549	18.07	3.2
SHRIMPLIN	3	2813.0	66.69	0.53	15.72	3.3
SHRIMPLIN	2	2813.5	73.68	521	15.98	3.3
SHRIMPLIN	2	2814.0	71.05	535	18.02	3.3
SHRIMPLIN	8	2814.5	57.02	628	12.09	3.5
