Name	     Facies	Depth	GR	ILD	PHIND	PE

SHRIMPLIN	9	3018.5	23.5	711	12.3	5.2
SHRIMPLIN	9	3019.0	28.33	706	11.79	5.3
SHRIMPLIN	9	3019.5	31.12	704	11325	5.3
SHRIMPLIN	9	3020.0	28.68	709	11165	5.4
SHRIMPLIN	9	3020.5	31.67	721	10535	5.4
SHRIMPLIN	9	3021.0	39.75	733	10.04	5.5
SHRIMPLIN	9	3021.5	36.56	747	8545	5.3
SHRIMPLIN	9	3022.0	36.56	747	8545	5.3
SHRIMPLIN	9	3022.5	37.21	764	7.73	5.6
SHRIMPLIN	9	3023.0	35.8	777	8195	5.7
SHRIMPLIN	9	3023.5	36.56	784	10.29	5.8
SHRIMPLIN	8	3024.0	27.96	791	12.12	5.5
SHRIMPLIN	8	3024.5	26.3	797	12385	5.4
SHRIMPLIN	8	3025.0	19.97	803	11.12	5.5
SHRIMPLIN	8	3025.5	17.92	808	9.73	5.4
SHRIMPLIN	8	3026.0	17.92	808	9.73	5.4
SHRIMPLIN	8	3026.5	16.51	814	8275	5.5
SHRIMPLIN	8	3027.0	21.94	0.82	7.68	5.4
SHRIMPLIN	8	3027.5	32.54	821	7445	5.8
SHRIMPLIN	8	3028.0	47.7	814	7.34	5.8
SHANKLE	2	2774.5	98.36	642	18685	2.9
SHANKLE	2	2775.0	97.57	631	16745	3.2
SHANKLE	2	2775.5	98.41	615	14105	3.2
SHANKLE	2	2776.0	85.92	597	13385	3.4
SHANKLE	2	2776.5	83.16	592	13345	3.4
SHANKLE	2	2777.0	82.56	599	13105	3.5
SHANKLE	2	2777.5	83.12	611	14.0	3.3
SHANKLE	2	2778.0	84.26	0.62	13685	3.3
SHANKLE	2	2778.5	86.29	627	13.92	3.2
SHANKLE	2	2779.0	80.95	629	13975	3.2
SHANKLE	2	2779.5	79.07	629	14235	3.2
SHANKLE	2	2780.0	75.31	626	13.17	3.2
SHANKLE	2	2780.5	69.3	625	12.32	3.0
SHANKLE	2	2781.0	69.16	626	11805	3.0
SHANKLE	2	2781.5	69.03	624	11.72	3.2
SHANKLE	2	2782.0	64.95	622	11.75	3.4
SHANKLE	2	2782.5	78.95	607	12155	3.4
SHANKLE	2	2783.0	82.36	0.58	12955	3.2
SHANKLE	2	2783.5	80.27	543	12865	3.1
SHANKLE	2	2784.0	78.87	507	12.23	2.9
SHANKLE	2	2784.5	66.38	473	11.89	2.8
SHANKLE	1	2785.0	58.63	444	12.44	2.7
SHANKLE	1	2785.5	59.16	413	13.64	2.6
SHANKLE	1	2786.0	52.86	378	14.49	2.6
SHANKLE	1	2786.5	54.32	344	15085	2.6
SHANKLE	1	2787.0	53.27	0.32	14985	2.7
SHANKLE	1	2787.5	52.34	312	14945	2.7
SHANKLE	1	2788.0	58.01	0.31	15055	2.7
SHANKLE	1	2788.5	55.38	307	15.28	2.8
SHANKLE	1	2789.0	55.18	301	15905	2.8
SHANKLE	1	2789.5	55.09	292	16485	2.8
