Well_Name	Facies	Depth	GR	ILD_log10	DeltaPHI	PHIND
						
SHRIMPLIN	3	2793.0	77.45	664	9.9	11915
SHRIMPLIN	3	2793.5	78.26	661	14.2	12565
SHRIMPLIN	3	2794.0	79.05	658	14.8	13.05
SHRIMPLIN	3	2794.5	86.1	655	13.9	13115
SHRIMPLIN	3	2795.0	74.58	647	13.5	13.3
SHRIMPLIN	3	2795.5	73.97	636	14.0	13385
SHRIMPLIN	3	2796.0	73.72	0.63	15.6	13.93
SHRIMPLIN	3	2796.5	75.65	625	16.5	13.92
SHRIMPLIN	3	2797.0	73.79	624	16.2	13.98
SHRIMPLIN	3	2797.5	76.89	615	16.9	14.22
SHRIMPLIN	3	2798.0	76.11	0.6	14.8	13375
SHRIMPLIN	3	2798.5	74.95	583	13.3	12.69
SHRIMPLIN	3	2799.0	71.87	561	11.3	12475
SHRIMPLIN	3	2799.5	83.42	537	13.3	14.93
SHRIMPLIN	2	2800.0	90.1	519	14.3	16555
SHRIMPLIN	2	2800.5	78.15	467	11.8	15.96
SHRIMPLIN	2	2801.0	69.3	438	9.5	15.12
SHRIMPLIN	2	2801.5	63.54	418	8.8	15.19
SHRIMPLIN	2	2802.0	63.87	401	7.2	15.39
SHRIMPLIN	2	2802.5	58.32	386	6.6	14885
SHRIMPLIN	2	2803.0	56.61	369	5.5	14.8
SHRIMPLIN	2	2803.5	55.97	352	6.1	14.46
SHRIMPLIN	2	2804.0	63.67	344	6.0	14745
SHRIMPLIN	2	2804.5	66.2	342	6.8	15135
SHRIMPLIN	2	2805.0	61.27	346	6.1	15.48
SHRIMPLIN	3	2805.5	69.48	354	5.8	14675
SHRIMPLIN	3	2806.0	76.37	354	5.2	13635
SHRIMPLIN	2	2806.5	82.2	348	7.4	15055
SHRIMPLIN	2	2807.0	90.25	346	11.5	20.23
SHRIMPLIN	2	2807.5	94.38	358	14.2	24015
SHRIMPLIN	2	2808.0	87.44	377	13.9	23.58
SHRIMPLIN	2	2808.5	70.98	401	11.5	18395
SHRIMPLIN	2	2809.0	64.72	439	10.3	13815
SHRIMPLIN	3	2809.5	54.29	0.47	9.9	9.44
SHRIMPLIN	3	2810.0	41.46	493	11.1	5255
SHRIMPLIN	3	2810.5	50.93	524	12.1	5265
SHRIMPLIN	3	2811.0	72.79	543	11.3	11.76
SHRIMPLIN	3	2811.5	95.34	555	14.1	17665
SHRIMPLIN	3	2812.0	102.35	558	15.8	20145
SHRIMPLIN	3	2812.5	79.7	549	15.5	18.07
SHRIMPLIN	3	2813.0	66.69	0.53	14.0	15.72
SHRIMPLIN	2	2813.5	73.68	521	14.7	15.98
SHRIMPLIN	2	2814.0	71.05	535	17.2	18.02
SHRIMPLIN	8	2814.5	57.02	628	11.6	12.09
SHRIMPLIN	8	2815.0	43.29	702	7.3	6705
SHRIMPLIN	8	2815.5	36.06	762	5.7	4595
SHRIMPLIN	8	2816.0	46.0	823	5.1	4.62
SHRIMPLIN	6	2816.5	60.3	915	4.6	5.01
SHRIMPLIN	6	2817.0	75.22	999	4.4	5295
SHRIMPLIN	6	2817.5	87.19	1045	4.7	5.32
SHRIMPLIN	6	2818.0	86.86	1064	5.2	5785
SHRIMPLIN	6	2818.5	88.0	1051	6.5	6.38
SHRIMPLIN	6	2819.0	75.47	1018	7.8	7215
SHRIMPLIN	6	2819.5	59.36	972	10.0	8925
SHRIMPLIN	6	2820.0	55.57	952	8.6	9355
SHRIMPLIN	6	2820.5	46.96	924	5.4	9.12
SHRIMPLIN	6	2821.0	43.67	876	3.6	8225
SHRIMPLIN	6	2821.5	55.23	826	5.1	7875
SHRIMPLIN	6	2822.0	61.24	777	9.7	8575
SHRIMPLIN	6	2822.5	54.46	728	12.8	10.66
SHRIMPLIN	7	2823.0	43.23	699	14.9	12375
SHRIMPLIN	7	2823.5	44.59	682	16.0	13.54
SHRIMPLIN	4	2824.0	47.48	676	16.5	12.89
SHRIMPLIN	4	2824.5	61.1	671	15.2	11785
SHRIMPLIN	4	2825.0	64.82	0.68	9.1	8.97
SHRIMPLIN	4	2825.5	55.77	0.71	6.1	8.93
SHRIMPLIN	4	2826.0	62.22	744	4.3	9215
SHRIMPLIN	6	2826.5	55.06	786	2.9	9.5
SHRIMPLIN	6	2827.0	71.02	839	3.1	8.89
SHRIMPLIN	6	2827.5	91.37	881	3.9	8.06
SHRIMPLIN	6	2828.0	115.42	911	5.2	6875
SHRIMPLIN	6	2828.5	115.7	0.94	5.9	6085
SHRIMPLIN	6	2829.0	107.11	972	6.0	6135
SHRIMPLIN	6	2829.5	93.82	1008	5.8	6.64
SHRIMPLIN	6	2830.0	61.63	1061	3.6	6865
SHRIMPLIN	6	2830.5	45.98	1076	3.6	6.25
SHRIMPLIN	6	2831.0	32.76	1071	3.0	6225
SHRIMPLIN	6	2831.5	37.82	1058	3.6	6.19
